input,target
generate apa: Dina meminum susu di ruang keluarga.,Apa yang Dina pinum di ruang keluarga?
generate dimana: Dina meminum susu di ruang keluarga.,Di mana Dina meminum susu?
generate siapa: Ayah membaca koran di sofa.,Siapa yang membaca koran di sofa?
generate apa: Ayah membaca koran di sofa.,Apa yang Ayah baca di sofa?
generate dimana: Ayah membaca koran di sofa.,Di mana Ayah membaca koran?
generate apa: Kucing peliharaan tidur di bawah meja.,Apa yang tidur di bawah meja?
generate dimana: Kucing peliharaan tidur di bawah meja.,Di mana Kucing peliharaan tidur ?
generate siapa: Hujan turun selama dua jam penuh.,Siapa yang turun selama dua jam penuh?
"generate apa: Akhirnya, hujan mulai mereda.",Apa yang mulai mereda Akhirnya?
generate apa: Rintik hujan berubah menjadi gerimis kecil.,Apa yang berubah menjadi gerimis kecil?
generate apa: Rintik hujan berubah menjadi gerimis kecil.,Apa yang Rintik hujan rubahi?
generate siapa: Dina membuka jendela kamar.,Siapa yang membuka jendela kamar?
generate apa: Dina membuka jendela kamar.,Apa yang Dina buka?
generate siapa: Dina melihat pelangi di langit.,Siapa yang melihat pelangi di langit?
generate apa: Dina melihat pelangi di langit.,Apa yang Dina lihat di langit?
generate dimana: Dina melihat pelangi di langit.,Di mana Dina melihat pelangi?
generate apa: Pelangi itu memiliki warna yang indah.,Apa yang memiliki warna yang indah?
generate apa: Pelangi itu memiliki warna yang indah.,Apa yang Pelangi itu miliki?
generate siapa: Desa Sukamaju mengadakan perayaan hari kemerdekaan.,Siapa yang mengadakan perayaan hari kemerdekaan?
generate apa: Desa Sukamaju mengadakan perayaan hari kemerdekaan.,Apa yang Desa Sukamaju adakan?
generate siapa: Doni mendaftar lomba lari karung.,Siapa yang mendaftar lomba lari karung?
generate siapa: Doni berdiri di garis awal.,Siapa yang berdiri di garis awal?
generate dimana: Doni berdiri di garis awal.,Di mana Doni berdiri ?
generate apa: Panitia membagikan karung goni kepada peserta.,Apa yang membagikan karung goni kepada peserta?
generate apa: Panitia membagikan karung goni kepada peserta.,Apa yang Panitia bagikan kepada peserta?
generate siapa: Doni masuk ke dalam karung goni.,Siapa yang masuk ke dalam karung goni?
generate kemana: Doni masuk ke dalam karung goni.,Ke mana Doni masuk ?
generate siapa: Doni memegang ujung karung dengan erat.,Siapa yang memegang ujung karung dengan erat?
generate apa: Doni memegang ujung karung dengan erat.,Apa yang Doni pegang dengan erat?
generate siapa: Wasit meniup peluit panjang.,Siapa yang meniup peluit panjang?
generate apa: Wasit meniup peluit panjang.,Apa yang Wasit tiup?
generate siapa: Doni melompat dengan sangat cepat.,Siapa yang melompat?
generate apa: Teman-teman memberi semangat dari pinggir lapangan.,Apa yang memberi semangat dari pinggir lapangan?
generate apa: Teman-teman memberi semangat dari pinggir lapangan.,Apa yang Teman-teman beri dari pinggir lapangan?
generate darimana: Teman-teman memberi semangat dari pinggir lapangan.,Dari mana Teman-teman memberi semangat?
generate dimana: Seorang peserta terjatuh di tengah lapangan.,Di mana  terjatuh ?
generate siapa: Doni terus melompat ke depan.,Siapa yang melompat terus ke depan?
generate kemana: Doni terus melompat ke depan.,Ke mana Doni melompat ?
generate apa: Keringat bercucuran di wajah Doni.,Apa yang bercucuran di wajah doni?
generate dimana: Keringat bercucuran di wajah Doni.,Di mana Keringat bercucuran ?
generate siapa: Doni mengerahkan seluruh tenaga.,Siapa yang mengerahkan seluruh tenaga?
generate siapa: Doni melewati garis akhir pertama kali.,Siapa yang melewati garis akhir pertama kali?
generate siapa: Penonton bertepuk tangan dengan meriah.,Siapa yang bertepuk tangan dengan meriah?
generate apa: Penonton bertepuk tangan dengan meriah.,Apa yang Penonton tepuk dengan meriah?
generate siapa: Doni keluar dari karung goni.,Siapa yang keluar dari karung goni?
generate darimana: Doni keluar dari karung goni.,Dari mana Doni keluar ?
generate siapa: Doni mengambil napas dalam-dalam.,Siapa yang mengambil napas dalam-dalam?
generate apa: Doni mengambil napas dalam-dalam.,Apa yang Doni ambil?
generate apa: Kepala desa menyerahkan hadiah lomba.,Apa yang menyerahkan hadiah lomba?
generate apa: Kepala desa menyerahkan hadiah lomba.,Apa yang Kepala desa serahkan?
generate siapa: Doni menerima sebuah piala kecil.,Siapa yang menerima sebuah piala kecil?
generate apa: Doni menerima sebuah piala kecil.,Apa yang Doni terima?
generate siapa: Doni juga mendapatkan buku tulis baru.,Siapa yang mendapatkan buku tulis baru juga?
generate apa: Doni juga mendapatkan buku tulis baru.,Apa yang Doni dapatkan juga?
generate siapa: Doni merasa sangat gembira.,Siapa yang merasa sangat gembira?
generate siapa: Doni membawa pulang hadiah tersebut.,Siapa yang membawa pulang hadiah tersebut?
generate apa: Doni membawa pulang hadiah tersebut.,Apa yang Doni bawa?
generate siapa: Tino pergi ke kebun binatang.,Siapa yang pergi ke kebun binatang?
generate kemana: Tino pergi ke kebun binatang.,Ke mana Tino pergi ?
generate siapa: Tino pergi bersama ayah dan ibu.,Siapa yang pergi bersama ayah dan ibu?
generate siapa: Ayah membeli tiket di loket.,Siapa yang membeli tiket di loket?
generate apa: Ayah membeli tiket di loket.,Apa yang Ayah beli di loket?
generate dimana: Ayah membeli tiket di loket.,Di mana Ayah membeli tiket?
generate siapa: Mereka masuk melewati pintu gerbang utama.,Siapa yang masuk melewati pintu gerbang utama?
generate apa: Mereka masuk melewati pintu gerbang utama.,Apa yang Mereka masuki?
generate siapa: Tino melihat kandang gajah yang besar.,Siapa yang melihat kandang gajah yang besar?
generate apa: Tino melihat kandang gajah yang besar.,Apa yang Tino lihat?
generate apa: Gajah itu memiliki belalai yang panjang.,Apa yang memiliki belalai yang panjang?
generate apa: Gajah itu memiliki belalai yang panjang.,Apa yang Gajah itu miliki?
generate siapa: Gajah menyemprotkan air ke tubuhnya.,Siapa yang menyemprotkan air ke tubuh nya?
generate apa: Gajah menyemprotkan air ke tubuhnya.,Apa yang Gajah semprotkan ke tubuh nya?
generate kemana: Gajah menyemprotkan air ke tubuhnya.,Ke mana Gajah menyemprotkan air?
generate siapa: Tino berjalan ke kandang jerapah.,Siapa yang berjalan ke kandang jerapah?
generate kemana: Tino berjalan ke kandang jerapah.,Ke mana Tino berjalan ?
generate siapa: Jerapah memakan daun di pohon tinggi.,Siapa yang memakan daun di pohon tinggi?
generate apa: Jerapah memakan daun di pohon tinggi.,Apa yang Jerapah makan di pohon tinggi?
generate dimana: Jerapah memakan daun di pohon tinggi.,Di mana Jerapah memakan daun?
generate siapa: Tino sangat kagum melihat jerapah.,Siapa yang melihat jerapah sangat kagum?
generate apa: Tino sangat kagum melihat jerapah.,Apa yang Tino lihat sangat kagum?
generate siapa: Ibu mengajak Tino melihat monyet.,Siapa yang mengajak melihat monyet?
generate apa: Monyet-monyet itu melompat dari dahan ke dahan.,Apa yang melompat dari dahan ke dahan?
generate darimana: Monyet-monyet itu melompat dari dahan ke dahan.,Dari mana Monyet-monyet itu melompat ?
generate siapa: Mereka beristirahat di kursi taman.,Siapa yang beristirahat di kursi taman?
generate dimana: Mereka beristirahat di kursi taman.,Di mana Mereka beristirahat ?
generate siapa: Ayah membelikan es krim cokelat.,Siapa yang membelikan es krim cokelat?
generate apa: Ayah membelikan es krim cokelat.,Apa yang Ayah belikan?
generate siapa: Tino memakan es krim dengan senang.,Siapa yang memakan es krim dengan senang?
generate apa: Tino memakan es krim dengan senang.,Apa yang Tino makan dengan senang?
generate siapa: Mereka melanjutkan perjalanan ke kandang singa.,Siapa yang melanjutkan perjalanan ke kandang singa?
generate apa: Mereka melanjutkan perjalanan ke kandang singa.,Apa yang Mereka lanjutkan ke kandang singa?
generate kemana: Mereka melanjutkan perjalanan ke kandang singa.,Ke mana Mereka melanjutkan perjalanan?
generate apa: Singa jantan sedang tidur siang.,Apa yang sedang tidur siang?
generate apa: Singa jantan sedang tidur siang.,Apa yang Singa jantan tidur?
generate apa: Singa itu memiliki surai yang lebat.,Apa yang Singa itu miliki?
generate siapa: Tino mengambil foto singa dari jauh.,Siapa yang mengambil foto singa?
generate apa: Tino mengambil foto singa dari jauh.,Apa yang Tino ambil?
generate apa: Waktu menunjukkan pukul empat sore.,Apa yang menunjukkan pukul empat sore?
generate apa: Waktu menunjukkan pukul empat sore.,Apa yang Waktu tunjukkan?
generate apa: Kebun binatang akan segera tutup.,Apa yang akan tutup segera?
generate siapa: Tino berjalan menuju pintu keluar.,Siapa yang berjalan menuju pintu keluar?
generate siapa: Tino merasa lelah tetapi bahagia.,Siapa yang merasa lelah tetapi bahagia?
generate siapa: Mereka pulang ke rumah dengan taksi.,Siapa yang pulang ke rumah dengan taksi?
generate kemana: Mereka pulang ke rumah dengan taksi.,Ke mana Mereka pulang ?
generate siapa: Paman memiliki seekor anjing penjaga.,Siapa yang memiliki seekor anjing penjaga?
generate apa: Paman memiliki seekor anjing penjaga.,Apa yang Paman miliki?
generate apa: Anjing itu bernama Bruno.,Apa yang bernama Bruno?
generate siapa: Anjing itu bernama Bruno.,Siapa yang Anjing itu nama?
generate siapa: Bruno memiliki bulu berwarna cokelat.,Siapa yang memiliki bulu?
generate apa: Bruno memiliki bulu berwarna cokelat.,Apa yang Bruno miliki?
"generate siapa: Setiap malam, Bruno menjaga rumah paman.","Siapa yang menjaga rumah paman setiap malam ,?"
"generate apa: Setiap malam, Bruno menjaga rumah paman.","Apa yang Bruno jaga setiap malam ,?"
"generate kapan: Setiap malam, Bruno menjaga rumah paman.",Kapan Bruno menjaga rumah paman?
generate siapa: Bruno tidur di teras depan.,Siapa yang tidur di teras depan?
generate dimana: Bruno tidur di teras depan.,Di mana Bruno tidur ?
generate siapa: Bruno memiliki pendengaran yang tajam.,Siapa yang memiliki pendengaran yang tajam?
generate apa: Bruno memiliki pendengaran yang tajam.,Apa yang Bruno miliki?
"generate apa: Pada suatu malam, cuaca sangat gelap.",Apa yang cuaca sangat gelap?
generate siapa: Bruno mendengar suara langkah kaki.,Siapa yang mendengar suara langkah kaki?
generate apa: Bruno mendengar suara langkah kaki.,Apa yang Bruno dengar?
generate apa: Suara itu berasal dari pagar belakang.,Apa yang berasal dari pagar belakang?
generate darimana: Suara itu berasal dari pagar belakang.,Dari mana Suara itu berasal ?
generate siapa: Bruno segera berdiri.,Siapa yang berdiri segera?
generate siapa: Bruno berlari ke arah halaman belakang.,Siapa yang berlari ke arah halaman belakang?
generate kemana: Bruno berlari ke arah halaman belakang.,Ke mana Bruno berlari ?
generate siapa: Bruno melihat bayangan orang asing.,Siapa yang melihat bayangan orang asing?
generate apa: Bruno melihat bayangan orang asing.,Apa yang Bruno lihat?
generate siapa: Bruno menggonggong dengan sangat keras.,Siapa yang menggonggong?
generate siapa: Gonggongan Bruno membangunkan paman.,Siapa yang membangunkan paman?
generate apa: Gonggongan Bruno membangunkan paman.,Apa yang Gonggongan Bruno bangunkan?
generate siapa: Paman menyalakan lampu senter.,Siapa yang menyalakan lampu senter?
generate apa: Paman menyalakan lampu senter.,Apa yang Paman nyalakan?
generate siapa: Paman berjalan ke halaman belakang.,Siapa yang berjalan ke halaman belakang?
generate kemana: Paman berjalan ke halaman belakang.,Ke mana Paman berjalan ?
generate apa: Orang asing itu lari ketakutan.,Apa yang lari ketakutan?
generate apa: Orang asing itu melompati pagar.,Apa yang melompati pagar?
generate apa: Orang asing itu melompati pagar.,Apa yang Orang asing itu lompati?
generate siapa: Paman mengelus kepala Bruno.,Siapa yang mengelus kepala Bruno?
generate siapa: Paman mengelus kepala Bruno.,Siapa yang Paman kelus?
generate siapa: Paman memuji keberanian Bruno.,Siapa yang memuji keberanian Bruno?
generate siapa: Bruno mengibaskan ekornya.,Siapa yang mengibaskan ekor nya?
generate apa: Bruno mengibaskan ekornya.,Apa yang Bruno ibaskan?
generate apa: Rumah paman kembali aman.,Apa yang aman kembali?
generate siapa: Paman memberi Bruno biskuit anjing.,Siapa yang memberi Bruno biskuit anjing?
generate siapa: Paman memberi Bruno biskuit anjing.,Siapa yang Paman beri?
generate siapa: Bruno kembali tidur di teras.,Siapa yang tidur kembali di teras?
generate dimana: Bruno kembali tidur di teras.,Di mana Bruno tidur ?
generate apa: Udin dan teman-teman pergi ke sungai.,Apa yang pergi ke sungai?
generate kemana: Udin dan teman-teman pergi ke sungai.,Ke mana Udin dan teman-teman pergi ?
generate siapa: Udin membawa sebuah jaring kecil.,Siapa yang membawa sebuah jaring kecil?
generate apa: Udin membawa sebuah jaring kecil.,Apa yang Udin bawa?
generate siapa: Teman Udin membawa ember plastik.,Siapa yang membawa ember plastik?
generate apa: Teman Udin membawa ember plastik.,Apa yang Teman Udin bawa?
generate siapa: Mereka turun ke dalam sungai.,Siapa yang turun ke dalam sungai?
generate kemana: Mereka turun ke dalam sungai.,Ke mana Mereka turun ?
generate apa: Air sungai terasa sangat sejuk.,Apa yang terasa sangat sejuk?
generate siapa: Udin melihat sekelompok ikan kecil.,Siapa yang melihat sekelompok ikan kecil?
generate apa: Udin melihat sekelompok ikan kecil.,Apa yang Udin lihat?
generate apa: Ikan-ikan itu berenang di dekat batu.,Apa yang berenang di dekat batu?
generate dimana: Ikan-ikan itu berenang di dekat batu.,Di mana Ikan-ikan itu berenang ?
generate siapa: Udin mengayunkan jaring ke dalam air.,Siapa yang mengayunkan jaring ke dalam air?
generate apa: Udin mengayunkan jaring ke dalam air.,Apa yang Udin ayunkan ke dalam air?
generate kemana: Udin mengayunkan jaring ke dalam air.,Ke mana Udin mengayunkan jaring?
generate siapa: Udin berhasil menangkap tiga ekor ikan.,Siapa yang berhasil menangkap tiga ekor ikan?
generate apa: Ikan itu berwarna perak.,Apa yang Ikan itu warna?
generate siapa: Udin memasukkan ikan ke dalam ember.,Siapa yang memasukkan ikan ke dalam ember?
generate apa: Udin memasukkan ikan ke dalam ember.,Apa yang Udin masukkan ke dalam ember?
generate kemana: Udin memasukkan ikan ke dalam ember.,Ke mana Udin memasukkan ikan?
generate apa: Teman-teman ikut mencari ikan.,Apa yang ikut mencari ikan?
generate apa: Teman-teman ikut mencari ikan.,Apa yang Teman-teman ikuti?
generate siapa: Mereka sangat fokus mencari ikan.,Siapa yang fokus mencari ikan sangat?
generate apa: Mereka sangat fokus mencari ikan.,Apa yang Mereka fokusi sangat?
generate siapa: Udin menemukan udang sungai di balik batu.,Siapa yang menemukan udang sungai di balik batu?
generate apa: Udin menemukan udang sungai di balik batu.,Apa yang Udin temukan di balik batu?
generate dimana: Udin menemukan udang sungai di balik batu.,Di mana Udin menemukan udang sungai?
generate siapa: Udin menangkap udang itu dengan tangan.,Siapa yang menangkap udang itu dengan tangan?
generate apa: Udin menangkap udang itu dengan tangan.,Apa yang Udin tangkap dengan tangan?
generate siapa: Mereka bermain air bersama-sama.,Siapa yang bermain air bersama-sama?
generate apa: Mereka bermain air bersama-sama.,Apa yang Mereka main bersama-sama?
generate apa: Pakaian mereka menjadi sangat basah.,Apa yang menjadi sangat basah?
generate apa: Ember plastik sudah berisi banyak ikan.,Apa yang sudah berisi ikan banyak?
generate apa: Ember plastik sudah berisi banyak ikan.,Apa yang Ember plastik isi banyak?
generate siapa: Mereka naik ke pinggir sungai.,Siapa yang naik ke pinggir sungai?
generate kemana: Mereka naik ke pinggir sungai.,Ke mana Mereka naik ?
generate siapa: Mereka membawa ikan itu pulang.,Siapa yang membawa pulang ikan itu?
generate apa: Mereka membawa ikan itu pulang.,Apa yang Mereka bawa?
generate apa: Ibu menggoreng ikan tersebut di rumah.,Apa yang menggoreng ikan tersebut di rumah?
generate apa: Ibu menggoreng ikan tersebut di rumah.,Apa yang Ibu goreng di rumah?
generate dimana: Ibu menggoreng ikan tersebut di rumah.,Di mana Ibu menggoreng ikan tersebut?
generate siapa: Udin memakan ikan goreng dengan nasi.,Siapa yang memakan ikan goreng dengan nasi?
generate apa: Udin memakan ikan goreng dengan nasi.,Apa yang Udin makan dengan nasi?
generate apa: Hari ini adalah hari ulang tahun Andi.,Apa yang hari?
generate siapa: Andi berusia sembilan tahun.,Siapa yang berusia sembilan tahun?
generate apa: Andi berusia sembilan tahun.,Apa yang Andi usia?
generate apa: Ibu membuat kue ulang tahun cokelat.,Apa yang membuat kue ulang tahun cokelat?
generate siapa: Ayah memberikan sebuah kotak kado.,Siapa yang memberikan sebuah kotak kado?
generate apa: Ayah memberikan sebuah kotak kado.,Apa yang Ayah berikan?
generate siapa: Andi menerima kotak kado itu.,Siapa yang menerima kotak kado itu?
generate apa: Andi menerima kotak kado itu.,Apa yang Andi terima?
generate siapa: Andi mengucapkan terima kasih kepada ayah.,Siapa yang mengucapkan terima kasih kepada ayah?
generate apa: Andi mengucapkan terima kasih kepada ayah.,Apa yang Andi ucapkan kepada ayah?
generate siapa: Andi membuka kotak kado dengan antusias.,Siapa yang membuka kotak kado dengan antusias?
generate apa: Andi membuka kotak kado dengan antusias.,Apa yang Andi buka dengan antusias?
generate dimana: Di dalam kotak terdapat sepasang sepatu.,Di mana  terdapat sepasang sepatu?
generate apa: Sepatu itu berwarna hitam dan putih.,Apa yang berwarna hitam dan putih?
generate apa: Sepatu itu memiliki tali merah.,Apa yang memiliki tali merah?
generate apa: Sepatu itu memiliki tali merah.,Apa yang Sepatu itu miliki?
generate siapa: Andi sangat menyukai sepatu baru itu.,Siapa yang menyukai sepatu baru itu sangat?
generate apa: Andi sangat menyukai sepatu baru itu.,Apa yang Andi sukai sangat?
generate siapa: Andi langsung mencoba sepatu tersebut.,Siapa yang mencoba sepatu tersebut langsung?
generate apa: Andi langsung mencoba sepatu tersebut.,Apa yang Andi coba langsung?
generate apa: Teman-teman Andi datang ke rumah.,Apa yang datang ke rumah?
generate kemana: Teman-teman Andi datang ke rumah.,Ke mana Teman-teman Andi datang ?
generate siapa: Mereka menyanyikan lagu selamat ulang tahun.,Siapa yang menyanyikan lagu selamat ulang tahun?
generate apa: Mereka menyanyikan lagu selamat ulang tahun.,Apa yang Mereka nyanyikan?
generate siapa: Andi meniup lilin di atas kue.,Siapa yang meniup lilin di atas kue?
generate apa: Andi meniup lilin di atas kue.,Apa yang Andi tiup di atas kue?
generate dimana: Andi meniup lilin di atas kue.,Di mana Andi meniup lilin?
generate siapa: Andi memotong kue cokelat itu.,Siapa yang memotong kue cokelat itu?
generate apa: Andi memotong kue cokelat itu.,Apa yang Andi potong?
generate siapa: Ibu membagikan potongan kue kepada teman-teman.,Siapa yang membagikan potongan kue kepada teman-teman?
generate apa: Ibu membagikan potongan kue kepada teman-teman.,Apa yang Ibu bagikan kepada teman-teman?
generate siapa: Mereka makan kue dengan gembira.,Siapa yang makan kue dengan gembira?
generate apa: Mereka makan kue dengan gembira.,Apa yang Mereka makan dengan gembira?
generate siapa: Andi mengajak teman-teman bermain di halaman.,Siapa yang mengajak teman-teman di halaman?
generate apa: Andi mengajak teman-teman bermain di halaman.,Apa yang Andi ajak di halaman?
generate dimana: Andi mengajak teman-teman bermain di halaman.,Di mana Andi mengajak teman-teman?
generate siapa: Andi memakai sepatu baru saat bermain.,Siapa yang memakai bermain sepatu baru?
generate apa: Andi memakai sepatu baru saat bermain.,Apa yang Andi pakai?
generate apa: Pesta ulang tahun berjalan sangat meriah.,Apa yang berjalan sangat meriah?
generate siapa: Andi merasa hari ini sangat spesial.,Siapa yang merasa hari ini sangat spesial?
generate apa: Andi merasa hari ini sangat spesial.,Apa yang Andi rasa sangat spesial?
generate siapa: Guru mengajak siswa ke perpustakaan daerah.,Siapa yang mengajak siswa ke perpustakaan daerah?
generate apa: Guru mengajak siswa ke perpustakaan daerah.,Apa yang Guru ajak ke perpustakaan daerah?
generate kemana: Guru mengajak siswa ke perpustakaan daerah.,Ke mana Guru mengajak siswa?
generate apa: Perpustakaan itu berada di pusat kota.,Apa yang berada di pusat kota?
generate dimana: Perpustakaan itu berada di pusat kota.,Di mana Perpustakaan itu berada ?
generate apa: Siswa berangkat menggunakan bus sekolah.,Apa yang berangkat menggunakan bus sekolah?
generate apa: Siswa berangkat menggunakan bus sekolah.,Apa yang Siswa berangkatkan?
generate siapa: Bus tiba di perpustakaan pada pukul sembilan.,Siapa yang tiba di perpustakaan?
generate dimana: Bus tiba di perpustakaan pada pukul sembilan.,Di mana Bus tiba ?
generate apa: Siswa masuk dengan tertib.,Apa yang masuk dengan tertib?
generate apa: Petugas perpustakaan menyambut mereka dengan senyum.,Apa yang menyambut mereka dengan senyum?
generate apa: Petugas perpustakaan menyambut mereka dengan senyum.,Apa yang Petugas perpustakaan sambut dengan senyum?
generate apa: Petugas menjelaskan aturan di perpustakaan.,Apa yang menjelaskan aturan di perpustakaan?
generate apa: Petugas menjelaskan aturan di perpustakaan.,Apa yang Petugas jelaskan di perpustakaan?
generate dimana: Petugas menjelaskan aturan di perpustakaan.,Di mana Petugas menjelaskan aturan?
generate siapa: Pengunjung tidak boleh membuat keributan.,Siapa yang boleh membuat keributan tidak?
generate apa: Pengunjung tidak boleh membuat keributan.,Apa yang Pengunjung buat tidak?
generate siapa: Rio mencari buku tentang dinosaurus.,Siapa yang mencari buku dinosaurus?
generate apa: Rio mencari buku tentang dinosaurus.,Apa yang Rio cari?
generate siapa: Rio menemukan buku itu di rak sejarah.,Siapa yang menemukan buku itu di rak sejarah?
generate apa: Rio menemukan buku itu di rak sejarah.,Apa yang Rio temukan di rak sejarah?
generate dimana: Rio menemukan buku itu di rak sejarah.,Di mana Rio menemukan buku itu?
generate apa: Buku itu memiliki gambar yang bagus.,Apa yang memiliki gambar yang bagus?
generate apa: Buku itu memiliki gambar yang bagus.,Apa yang Buku itu miliki?
generate siapa: Rio duduk di kursi baca.,Siapa yang duduk di kursi baca?
generate dimana: Rio duduk di kursi baca.,Di mana Rio duduk ?
generate siapa: Rio membaca buku dengan tenang.,Siapa yang membaca buku dengan tenang?
generate apa: Rio membaca buku dengan tenang.,Apa yang Rio baca dengan tenang?
generate siapa: Siti meminjam buku cerita rakyat.,Siapa yang meminjam buku cerita rakyat?
generate siapa: Siti membawa buku itu ke meja petugas.,Siapa yang membawa buku itu ke meja petugas?
generate apa: Siti membawa buku itu ke meja petugas.,Apa yang Siti bawa ke meja petugas?
generate kemana: Siti membawa buku itu ke meja petugas.,Ke mana Siti membawa buku itu?
generate siapa: Petugas mencatat peminjaman buku Siti.,Siapa yang mencatat peminjaman buku Siti?
generate siapa: Petugas mencatat peminjaman buku Siti.,Siapa yang Petugas catat?
generate apa: Waktu kunjungan berlangsung selama dua jam.,Apa yang berlangsung selama dua jam?
generate siapa: Guru mengumpulkan seluruh siswa.,Siapa yang mengumpulkan seluruh siswa?
generate apa: Guru mengumpulkan seluruh siswa.,Apa yang Guru kumpulkan?
generate apa: Siswa merapikan kembali kursi baca.,Apa yang merapikan kembali kursi baca?
generate apa: Siswa merapikan kembali kursi baca.,Apa yang Siswa rapi?
generate siapa: Mereka keluar dari gedung perpustakaan.,Siapa yang keluar dari gedung perpustakaan?
generate darimana: Mereka keluar dari gedung perpustakaan.,Dari mana Mereka keluar ?
generate apa: Siswa kembali naik ke dalam bus.,Apa yang naik kembali ke dalam bus?
generate kemana: Siswa kembali naik ke dalam bus.,Ke mana Siswa naik ?
generate siapa: Bus melaju kembali ke sekolah.,Siapa yang melaju kembali ke sekolah?
generate kemana: Bus melaju kembali ke sekolah.,Ke mana Bus melaju kembali ?
generate siapa: Rio mendapat banyak ilmu baru.,Siapa yang mendapat ilmu baru banyak?
generate apa: Rio mendapat banyak ilmu baru.,Apa yang Rio dapat banyak?
generate siapa: Fajar mengikuti kursus berenang.,Siapa yang mengikuti kursus berenang?
generate siapa: Fajar menyiapkan pakaian renang di tas.,Siapa yang menyiapkan pakaian renang di tas?
generate apa: Fajar menyiapkan pakaian renang di tas.,Apa yang Fajar siapkan di tas?
generate dimana: Fajar menyiapkan pakaian renang di tas.,Di mana Fajar menyiapkan pakaian renang?
generate siapa: Fajar tiba di kolam renang pagi hari.,Siapa yang tiba di kolam renang pagi hari?
generate apa: Pelatih renang sudah menunggu di tepi kolam.,Apa yang sudah menunggu di tepi kolam?
generate dimana: Pelatih renang sudah menunggu di tepi kolam.,Di mana Pelatih renang sudah menunggu ?
generate siapa: Fajar melakukan pemanasan terlebih dahulu.,Siapa yang melakukan pemanasan terlebih dahulu?
generate apa: Fajar melakukan pemanasan terlebih dahulu.,Apa yang Fajar lakukan terlebih dahulu?
generate siapa: Pemanasan mencegah kram otot.,Siapa yang mencegah kram otot?
generate siapa: Fajar turun ke dalam kolam renang.,Siapa yang turun ke dalam kolam renang?
generate apa: Air kolam terasa sangat dingin.,Apa yang terasa sangat dingin?
generate siapa: Pelatih mengajarkan gaya bebas.,Siapa yang mengajarkan gaya bebas?
generate apa: Pelatih mengajarkan gaya bebas.,Apa yang Pelatih ajarkan?
generate siapa: Fajar menggerakkan kaki ke atas dan bawah.,Siapa yang menggerakkan kaki ke atas dan bawah?
generate apa: Fajar menggerakkan kaki ke atas dan bawah.,Apa yang Fajar gerakkan ke atas dan bawah?
generate kemana: Fajar menggerakkan kaki ke atas dan bawah.,Ke mana Fajar menggerakkan kaki?
generate siapa: Fajar memutar tangan ke depan.,Siapa yang memutar tangan ke depan?
generate apa: Fajar memutar tangan ke depan.,Apa yang Fajar putar ke depan?
generate kemana: Fajar memutar tangan ke depan.,Ke mana Fajar memutar tangan?
generate siapa: Fajar mengambil napas dari samping.,Siapa yang mengambil napas dari samping?
generate apa: Fajar mengambil napas dari samping.,Apa yang Fajar ambil dari samping?
generate darimana: Fajar mengambil napas dari samping.,Dari mana Fajar mengambil napas?
generate siapa: Pelatih memberikan contoh yang benar.,Siapa yang memberikan contoh yang benar?
generate apa: Pelatih memberikan contoh yang benar.,Apa yang Pelatih berikan?
generate siapa: Fajar mengulangi gerakan tersebut.,Siapa yang mengulangi gerakan tersebut?
generate apa: Fajar mengulangi gerakan tersebut.,Apa yang Fajar ulangi?
generate siapa: Fajar berenang sejauh sepuluh meter.,Siapa yang berenang sejauh sepuluh meter?
generate siapa: Fajar merasa napasnya sangat tersengal.,Siapa yang merasa napas nya sangat?
generate apa: Fajar merasa napasnya sangat tersengal.,Apa yang Fajar rasa sangat?
generate siapa: Fajar beristirahat di pinggir kolam.,Siapa yang beristirahat di pinggir kolam?
generate dimana: Fajar beristirahat di pinggir kolam.,Di mana Fajar beristirahat ?
generate siapa: Pelatih memberikan pujian kepada Fajar.,Siapa yang memberikan pujian kepada fajar?
generate apa: Pelatih memberikan pujian kepada Fajar.,Apa yang Pelatih berikan kepada fajar?
generate siapa: Fajar kembali berlatih dengan semangat.,Siapa yang berlatih kembali dengan semangat?
generate siapa: Fajar membilas tubuh di kamar mandi.,Siapa yang membilas tubuh di kamar mandi?
generate apa: Fajar membilas tubuh di kamar mandi.,Apa yang Fajar bilas di kamar mandi?
generate dimana: Fajar membilas tubuh di kamar mandi.,Di mana Fajar membilas tubuh?
generate siapa: Fajar mengganti pakaian dengan baju bersih.,Siapa yang mengganti pakaian dengan baju bersih?
generate apa: Fajar mengganti pakaian dengan baju bersih.,Apa yang Fajar ganti dengan baju bersih?
generate siapa: Fajar pulang ke rumah bersama ayah.,Siapa yang pulang ke rumah bersama ayah?
generate kemana: Fajar pulang ke rumah bersama ayah.,Ke mana Fajar pulang ?
generate siapa: Desa Pak Hasan berada di dekat hutan.,Siapa yang berada di dekat hutan?
generate dimana: Desa Pak Hasan berada di dekat hutan.,Di mana Desa Pak Hasan berada ?
generate siapa: Pak Hasan membutuhkan kayu bakar.,Siapa yang membutuhkan kayu bakar?
generate apa: Pak Hasan membutuhkan kayu bakar.,Apa yang Pak Hasan butuhkan?
generate siapa: Pak Hasan pergi ke hutan membawa parang.,Siapa yang pergi membawa parang ke hutan?
generate apa: Pak Hasan pergi ke hutan membawa parang.,Apa yang Pak Hasan pergi ke hutan?
generate kemana: Pak Hasan pergi ke hutan membawa parang.,Ke mana Pak Hasan pergi membawa parang?
